player_id,player_name,position,age,total_games,seasons,ppg,projected_fpts,replacement_pts,par,auction_value,adp_rank,years_of_experience_x,years_of_experience_y,headshot_url,latest_team,ds_proj,consensus_proj,injury_risk,sos,ds_auction_value,Team,Bye,fpts_2025
00-0030874,Damien Williams,RB,,3.0,1.0,2.4999999999999996,97.92324883762771,109.10619302376719,0.0,1.0,,,9.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ga4vusnfwfvhp2ksqw7x",ARI,,,,,,,,
00-0037837,Calvin Austin III,WR,,45.0,3.0,5.956825396825397,103.34295804364129,109.28942998067417,0.0,1.0,374.0,,5.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qlt6ztqcbu0uzad6aavt",NYG,37.0,27.0,0%,0%,1.0,NYG,14.0,86.2
00-0037838,Isaiah Likely,TE,,39.0,3.0,7.068539325842697,113.56014108075149,120.68874601123403,0.0,1.0,139.0,,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ssrjtyvnyfflobmi0mb8",NYG,93.0,87.0,0%,0%,4.0,NYG,14.0,61.7
00-0031235,Odell Beckham Jr.,WR,,22.0,2.0,4.745535714285714,89.83452349614723,109.28942998067417,0.0,1.0,,,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ffmalg3wr7lwnsz59i7v",MIA,,,,,,,,
00-0038040,Zamir White,RB,,26.0,3.0,3.776582278481013,77.02662071477978,109.10619302376719,0.0,1.0,,,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jzthyqk2ld52f31ka1ir",LV,,,,,,,,9.600000000000001
00-0031237,Teddy Bridgewater,QB,,4.0,2.0,1.0058823529411764,156.65501158295442,338.3693359437138,0.0,1.0,,,12.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wggyfg1dgyiwcgxafoen",DET,,,,,,,,3.5
00-0038045,Isaiah Spiller,RB,,9.0,1.0,2.111111111111111,74.86210218905323,109.10619302376719,0.0,1.0,,,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/msdwytjm5qjxe336lmnv",LV,,,,,,,,
00-0038046,Charlie Kolar,TE,,24.0,3.0,3.5349726775956283,65.41105969439462,120.68874601123403,0.0,1.0,400.0,,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/g75ws8vkqz9cqwifhcy7",LAC,34.0,23.0,0%,0%,1.0,LAC,12.0,36.2
00-0038090,Skyy Moore,WR,,22.0,3.0,2.6676470588235297,63.930178258051995,109.28942998067417,0.0,1.0,,,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fadcpretmhczwjq8ovae",GB,,,,,,,,14.8
00-0038092,Erik Ezukanma,WR,,3.0,2.0,0.5866666666666668,86.37503161286908,109.28942998067417,0.0,1.0,,,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z5fkw0w6ylpkumdxcpcv",JAX,,,,,,,,
00-0038098,Pierre Strong,RB,,24.0,2.0,3.2372093023255823,70.9511603925857,109.10619302376719,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xvsnviejqwulftgrccpb",GB,,,,,,,,
00-0038102,Kenny Pickett,QB,,23.0,3.0,6.377272727272726,138.87012178577703,338.3693359437138,0.0,1.0,,,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nfdzmyfr8eup5uuojjdw",CAR,,,,,,,,11.600000000000001
00-0038104,Tyquan Thornton,WR,,24.0,3.0,5.618965517241381,100.39822746175135,109.28942998067417,0.0,1.0,244.0,,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bjqzuempyiwxe0hl7e5a",KC,68.0,48.0,0%,0%,1.0,KC,10.0,80.80000000000001
00-0038108,Bailey Zappe,QB,,11.0,2.0,9.585106382978722,189.67763329539335,338.3693359437138,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bdiiarfqwhyvsmmxtvg5",NYJ,,,,,,,,
00-0038115,Daniel Bellinger,TE,,32.0,3.0,4.450226244343891,76.79520336711721,120.68874601123403,0.0,1.0,412.0,,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hu3gywcwp2rlsefvawh1",TEN,26.0,24.0,0%,0%,1.0,TEN,10.0,59.6
00-0031260,Logan Thomas,TE,,16.0,1.0,7.800000000000001,115.52021074006716,120.68874601123403,0.0,1.0,,,9.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/acm0ymhqdzqxdibwjphv",WAS,,,,,,,,
00-0037004,Hunter Long,TE,,14.0,2.0,3.4957983193277316,67.40386626189144,120.68874601123403,0.0,1.0,467.0,,6.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n1kvmijdfpyv1dwlwqa6",JAX,11.0,12.0,0%,0%,1.0,JAC,8.0,32.5
00-0038122,Desmond Ridder,QB,,20.0,2.0,11.910526315789475,209.3228245129955,338.3693359437138,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rhpusa7pfgd82d9ui6y7",GB,,,,,,,,
00-0031280,Derek Carr,QB,,27.0,2.0,19.60905797101449,308.9147927911744,338.3693359437138,0.0,1.0,,,11.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsz1pyrlu6bmvby6maaf",NO,,,,,,,,
00-0038128,Malik Willis,QB,,12.0,3.0,11.914444444444445,212.10034028310596,338.3693359437138,0.0,1.0,151.0,,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hsnetccy7bquili3gcqq",MIA,268.0,259.0,0%,0%,3.0,MIA,12.0,61.400000000000006
00-0031288,AJ McCarron,QB,,2.0,1.0,0.47500000000000003,182.76101389954528,338.3693359437138,0.0,1.0,,,8.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fvakqnmsg35llkcme11h",CIN,,,,,,,,
00-0031299,Jordan Matthews,TE,,1.0,1.0,0.0,72.32056197351241,120.68874601123403,0.0,1.0,,,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b9rddikwsnwmfh9girgn",CAR,,,,,,,,
00-0038359,Xavier Smith,WR,,13.0,2.0,4.350413223140495,89.60222238360043,109.28942998067417,0.0,1.0,,,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fk4gtziqefw5etqfylbe",LA,,,,,,,,48.3
00-0038389,Israel Abanikanda,RB,,6.0,1.0,3.05,90.05398122956463,109.10619302376719,0.0,1.0,,,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uegr8w0frbrrqmlalg48",DAL,,,,,,,,
00-0038391,Sean Clifford,QB,,2.0,1.0,0.8250000000000002,183.95101389954527,338.3693359437138,0.0,1.0,,,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/aox0jnclewicjmdydbmq",CIN,,,,,,,,
00-0031345,Jimmy Garoppolo,QB,,11.0,3.0,8.200000000000001,176.04527047344487,338.3693359437138,0.0,1.0,,,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ivz3zwvjxvgcu4dzabur",LA,,,,,,,,-1.0
00-0038394,Will Mallory,TE,,19.0,3.0,2.2242718446601946,50.71573568840201,120.68874601123403,0.0,1.0,472.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iedvpzvx9rric1dyi3iy",IND,11.0,8.0,0%,0%,1.0,IND,11.0,2.6
00-0038396,Eric Gray,RB,,15.0,2.0,2.078888888888889,64.3379306035031,109.10619302376719,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ijjxwxv1ccyowzhpuw2k",NYG,,,,,,,,
00-0038397,Evan Hull,RB,,7.0,2.0,1.10625,72.086632480927,109.10619302376719,0.0,1.0,,,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xyyujk9mvvzegaiefp51",NO,,,,,,,,6.4
00-0038400,Tanner McKee,QB,,6.0,2.0,8.617592592592592,192.17532738856406,338.3693359437138,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oveivzhzv13jrfvkp8zg",PHI,,,,,,,,18.500000000000004
00-0038416,Tyson Bagent,QB,,11.0,3.0,4.424264705882353,138.88408626291854,338.3693359437138,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kfwnayxjfnbfs3sm5a21",CHI,,,,,,,,3.0500000000000003
00-0038440,Zavier Scott,WR,,9.0,1.0,4.355555555555556,93.3297263377388,109.28942998067417,0.0,1.0,,,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tnpgpzojszbfk8fpt0rb",MIN,,,,,,,,39.2
00-0038454,Keaton Mitchell,RB,,21.0,3.0,5.439506172839507,99.70894623853823,109.10619302376719,0.0,1.0,169.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/klpn2btfhgfv5a8dp3jj",LAC,79.0,48.0,0%,0%,1.0,LAC,12.0,55.400000000000006
00-0038458,Owen Wright,RB,,1.0,1.0,0.6000000000000001,106.65063746821163,109.10619302376719,0.0,1.0,,,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nig1vy9k1asfhkanvlki",TB,,,,,,,,0.6000000000000001
00-0038465,Malik Heath,WR,,22.0,3.0,3.7736842105263153,77.71877474928006,109.28942998067417,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gtvkkadrxfzlj1qxshhx",ATL,,,,,,,,14.6
00-0038476,Tommy DeVito,QB,,11.0,2.0,11.891000000000002,212.37248099976065,338.3693359437138,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iazdkuygt4kb7j6dgygi",NE,,,,,,,,
00-0038477,Bryce Ford-Wheaton,WR,,1.0,1.0,0.0,102.24503863795108,109.28942998067417,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tpgo4wfllzjx9l703nhb",NYG,,,,,,,,
00-0038488,Brady Russell,RB,,1.0,1.0,0.0,105.5173041348783,109.10619302376719,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qvf5yojj8rznahzzxffx",SEA,,,,,,,,0.0
00-0038489,Ben VanSumeren,RB,,1.0,1.0,1.0,107.40619302376719,109.10619302376719,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nkj6hhniksfdsoan2jnm",BUF,,,,,,,,
00-0038492,Jason Brownlee,WR,,5.0,2.0,2.553846153846154,87.48325160142177,109.28942998067417,0.0,1.0,,,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gnqpsix71nvcuclltghc",KC,,,,,,,,0.0
00-0038496,Xavier Gipson,WR,,23.0,3.0,2.9408000000000003,66.7760692819858,109.28942998067417,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xmtz360jnxg9psmqifnp",NYG,,,,,,,,2.6
00-0038498,E.J. Jenkins,TE,,2.0,1.0,3.85,78.17850577616117,120.68874601123403,0.0,1.0,,,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jmhuk0gcnyotcjhdxo6v",PHI,,,,,,,,
