scoring_format,Rank,Player,Team,position,POS,PlayerTeam (Bye),Bye,ds_auction_value,market_auction_value,ds_adp,ds_proj,consensus_proj,floor_proj,ceiling_proj,injury_risk,sos
ppr,183,Jerry Jeudy,CLE,WR,WR69,Jerry Jeudy CLE(11),11,1.0,1.0,14.01,85,75.0,73.3,153.4,0%,4.3%
ppr,184,T.J. Hockenson,MIN,TE,TE23,T.J. Hockenson MIN(6),6,1.0,1.0,13.02,84,76.0,77.2,109.1,0%,2%
ppr,185,Jonah Coleman,DEN,RB,RB54,Jonah Coleman DEN(10),10,1.0,1.0,12.08,61,31.0,53.9,180.5,0%,0.1%
ppr,186,Sean Tucker,TB,RB,RB55,Sean Tucker TB(10),10,1.0,1.0,17.02,62,38.0,56.8,175.9,0%,-2.2%
ppr,187,Mike Washington Jr.,LVR,RB,RB56,Mike Washington Jr. LVR(13),13,1.0,1.0,14.04,60,47.0,50.7,181.2,0%,-3.1%
ppr,188,Chris Boswell,PIT,K,K14,Chris Boswell PIT(9),9,1.0,1.0,25.02,146,142.0,142.9,170.6,0%,-2.9%
ppr,189,Keenan Allen,UNS,WR,WR70,Keenan Allen UNS(18),18,1.0,1.0,20.01,91,57.0,67.3,141.0,0%,-
ppr,190,Nick Chubb,UNS,RB,RB57,Nick Chubb UNS(18),18,1.0,1.0,23.01,70,23.0,49.1,154.5,0%,-
ppr,191,Emanuel Wilson,SEA,RB,RB58,Emanuel Wilson SEA(11),11,1.0,1.0,19.04,61,39.0,49.0,171.4,0%,5.6%
ppr,192,Braelon Allen,NYJ,RB,RB59,Braelon Allen NYJ(13),13,1.0,1.0,16.01,58,63.0,55.0,173.7,0%,-2.5%
ppr,193,Andres Borregales,NE,K,K15,Andres Borregales NE(11),11,1.0,1.0,32.07,146,148.0,141.8,168.1,0%,0.2%
ppr,194,Joe Mixon,UNS,RB,RB60,Joe Mixon UNS(18),18,1.0,1.0,16.11,69,23.0,41.3,154.9,0%,-
ppr,195,Najee Harris,UNS,RB,RB61,Najee Harris UNS(18),18,1.0,1.0,19.03,69,30.0,44.9,151.8,0%,-
ppr,196,Kayshon Boutte,NE,WR,WR71,Kayshon Boutte NE(11),11,1.0,1.0,18.01,80,71.0,71.6,155.9,0%,-2.5%
ppr,197,Jason Myers,SEA,K,K16,Jason Myers SEA(11),11,1.0,1.0,22.03,145,163.0,142.3,167.0,0%,1%
ppr,198,James Conner,ARI,RB,RB62,James Conner ARI(14),14,1.0,1.0,12.09,68,33.0,56.3,135.7,0%,0.1%
ppr,199,Pat Freiermuth,PIT,TE,TE24,Pat Freiermuth PIT(9),9,1.0,1.0,18.02,78,78.0,70.5,112.9,0%,3%
ppr,200,Samaje Perine,CIN,RB,RB63,Samaje Perine CIN(6),6,1.0,1.0,53.06,69,54.0,58.5,130.8,0%,-4%
ppr,201,Darnell Mooney,NYG,WR,WR72,Darnell Mooney NYG(8),8,1.0,1.0,17.08,80,55.0,72.4,148.9,0%,3.7%
ppr,202,Chase McLaughlin,TB,K,K17,Chase McLaughlin TB(10),10,1.0,1.0,21.02,145,144.0,140.2,167.6,0%,5%
ppr,203,Tre Harris,LAC,WR,WR73,Tre Harris LAC(7),7,1.0,1.0,18.04,77,54.0,69.0,157.9,0%,-2.6%
ppr,204,Jaydon Blue,DAL,RB,RB64,Jaydon Blue DAL(14),14,1.0,1.0,17.09,56,44.0,47.4,161.7,0%,2.9%
ppr,205,MarShawn Lloyd,GB,RB,RB65,MarShawn Lloyd GB(11),11,1.0,1.0,47.06,53,27.0,42.6,170.3,0%,-2.2%
ppr,206,Jalen Nailor,LVR,WR,WR74,Jalen Nailor LVR(13),13,1.0,1.0,17.03,81,71.0,71.0,147.6,0%,-5%
ppr,207,Emmett Johnson,KC,RB,RB66,Emmett Johnson KC(5),5,1.0,1.0,13.06,56,30.0,46.8,158.7,0%,0.6%
ppr,208,Will Reichard,MIN,K,K18,Will Reichard MIN(6),6,1.0,1.0,30.1,143,142.0,139.9,168.5,0%,1%
ppr,209,Jake Elliott,PHI,K,K19,Jake Elliott PHI(10),10,1.0,1.0,28.1,145,136.0,140.2,164.7,0%,-0.9%
ppr,210,Kareem Hunt,UNS,RB,RB67,Kareem Hunt UNS(18),18,1.0,1.0,46.05,63,21.0,44.4,136.3,0%,-
ppr,211,Jacoby Brissett,ARI,QB,QB27,Jacoby Brissett ARI(14),14,1.0,1.0,23.12,248,252.0,235.8,384.8,0%,-1.2%
ppr,212,Jaylin Noel,HOU,WR,WR75,Jaylin Noel HOU(8),8,1.0,1.0,19.11,76,34.0,68.4,153.5,0%,4.4%
ppr,213,Darius Slayton,NYG,WR,WR76,Darius Slayton NYG(8),8,1.0,1.0,43.1,76,54.0,68.7,152.6,0%,3.7%
ppr,214,Jaylen Wright,MIA,RB,RB68,Jaylen Wright MIA(6),6,1.0,1.0,17.06,50,37.0,42.3,161.9,0%,0.8%
ppr,215,Bryce Young,CAR,QB,QB28,Bryce Young CAR(5),5,1.0,1.0,15.02,243,235.0,240.1,390.5,0%,-0.8%
ppr,216,Trey Benson,ARI,RB,RB69,Trey Benson ARI(14),14,1.0,1.0,15.12,55,34.0,47.6,144.0,0%,0.1%
ppr,217,Tank Bigsby,PHI,RB,RB70,Tank Bigsby PHI(10),10,1.0,1.0,15.01,45,55.0,42.8,166.7,0%,4.4%
ppr,218,AJ Barner,SEA,TE,TE25,AJ Barner SEA(11),11,1.0,1.0,13.03,74,65.0,71.4,112.6,0%,-0.1%
ppr,219,Tyler Bass,BUF,K,K20,Tyler Bass BUF(7),7,1.0,1.0,20.02,143,141.0,138.5,164.2,0%,-1.6%
ppr,220,Jake Moody,WAS,K,K21,Jake Moody WAS(7),7,1.0,1.0,78.07,141,134.0,138.3,167.9,0%,-1.4%
ppr,221,Cade Otton,TB,TE,TE26,Cade Otton TB(10),10,1.0,1.0,15.07,77,66.0,73.6,102.0,0%,-2.8%
ppr,222,Justice Hill,BAL,RB,RB71,Justice Hill BAL(13),13,1.0,1.0,45.1,60,57.0,55.8,120.0,0%,-0.1%
ppr,223,Nicholas Singleton,TEN,RB,RB72,Nicholas Singleton TEN(9),9,1.0,1.0,15.1,44,29.0,37.1,163.8,0%,2.9%
ppr,224,Rashod Bateman,BAL,WR,WR77,Rashod Bateman BAL(13),13,1.0,1.0,18.09,73,76.0,64.6,154.2,0%,-0.3%
ppr,225,David Njoku,LAC,TE,TE27,David Njoku LAC(7),7,1.0,1.0,11.07,69,52.0,66.6,119.3,0%,-2.6%
ppr,226,Geno Smith,NYJ,QB,QB29,Geno Smith NYJ(13),13,1.0,1.0,25.09,241,243.0,231.4,390.6,0%,-4.4%
ppr,227,Cooper Kupp,SEA,WR,WR78,Cooper Kupp SEA(11),11,1.0,6.0,16.05,75,61.0,67.8,146.9,0%,-0.1%
ppr,228,Deshaun Watson,CLE,QB,QB30,Deshaun Watson CLE(11),11,1.0,1.0,72.08,221,87.0,129.2,272.0,0%,5.4%
ppr,229,Fernando Mendoza,LVR,QB,QB31,Fernando Mendoza LVR(13),13,1.0,1.0,14.1,238,245.0,232.8,391.9,0%,-6.2%
ppr,230,George Holani,SEA,RB,RB73,George Holani SEA(11),11,0.0,0.0,27.1,41,23.0,32.6,101.7,0%,5.6%
ppr,231,Jordan James,SF,RB,RB74,Jordan James SF(8),8,1.0,1.0,54.05,43,51.0,38.7,150.5,0%,0.7%
ppr,232,Jack Bech,LVR,WR,WR79,Jack Bech LVR(13),13,1.0,1.0,23.02,71,52.0,62.7,153.1,0%,-5%
ppr,233,Ollie Gordon II,MIA,RB,RB75,Ollie Gordon II MIA(6),6,1.0,1.0,20.03,40,18.0,38.4,153.7,0%,0.8%
ppr,234,Ty Johnson,BUF,RB,RB76,Ty Johnson BUF(7),7,1.0,1.0,46.07,58,53.0,49.7,108.2,0%,-4.2%
ppr,235,Kaelon Black,SF,RB,RB77,Kaelon Black SF(8),8,1.0,1.0,26.02,41,48.0,36.9,151.6,0%,0.7%
ppr,236,Isaiah Davis,NYJ,RB,RB78,Isaiah Davis NYJ(13),13,1.0,1.0,48.09,52,33.0,49.0,121.3,0%,-2.5%
ppr,237,Brashard Smith,KC,RB,RB79,Brashard Smith KC(5),5,1.0,1.0,23.08,49,33.0,40.5,128.6,0%,0.6%
ppr,238,Gunnar Helm,TEN,TE,TE28,Gunnar Helm TEN(9),9,1.0,1.0,15.04,72,64.0,68.1,104.3,0%,4.1%
ppr,239,Tyquan Thornton,KC,WR,WR80,Tyquan Thornton KC(5),5,1.0,1.0,44.08,68,62.0,58.9,157.4,0%,-2.6%
ppr,240,Jason Sanders,NYG,K,K22,Jason Sanders NYG(8),8,1.0,1.0,72.03,139,142.0,136.6,164.5,0%,0.2%
ppr,241,Austin Ekeler,UNS,RB,RB80,Austin Ekeler UNS(18),18,1.0,6.0,22.09,50,24.0,37.5,125.0,0%,-
ppr,242,Zachariah Branch,ATL,WR,WR81,Zachariah Branch ATL(11),11,1.0,1.0,18.07,70,36.0,60.0,152.1,0%,0.4%
ppr,243,Kendre Miller,NO,RB,RB81,Kendre Miller NO(8),8,1.0,1.0,20.04,41,18.0,32.6,142.8,0%,1.8%
ppr,244,Travis Hunter,JAC,WR,WR82,Travis Hunter JAC(7),7,1.0,3.0,13.09,59,60.0,54.6,175.0,0%,4%
ppr,245,Antonio Williams,WAS,WR,WR83,Antonio Williams WAS(7),7,1.0,1.0,15.03,69,73.0,63.1,149.6,0%,-2.4%
ppr,246,Colby Parkinson,LAR,TE,TE29,Colby Parkinson LAR(11),11,1.0,1.0,18.08,67,52.0,58.6,115.8,0%,-2.2%
ppr,247,Antonio Gibson,UNS,RB,RB82,Antonio Gibson UNS(18),18,1.0,1.0,49.1,54,2.0,34.9,107.4,0%,-
ppr,248,Ryan Fitzgerald,CAR,K,K23,Ryan Fitzgerald CAR(5),5,1.0,1.0,,139,,133.8,161.7,0%,3.2%
ppr,249,Evan McPherson,CIN,K,K24,Evan McPherson CIN(6),6,1.0,2.0,19.02,136,148.0,135.0,166.4,0%,0.7%
ppr,250,LeQuint Allen,JAC,RB,RB83,LeQuint Allen JAC(7),7,1.0,1.0,73.08,47,22.0,42.9,111.8,0%,0.9%
ppr,251,Demond Claiborne,MIN,RB,RB84,Demond Claiborne MIN(6),6,1.0,1.0,20.1,36,23.0,30.8,137.8,0%,-0.1%
ppr,252,De'Zhaun Stribling,SF,WR,WR84,De'Zhaun Stribling SF(8),8,1.0,1.0,16.08,65,51.0,58.2,153.8,0%,-3.2%
ppr,253,Christopher Brooks,GB,RB,RB85,Christopher Brooks GB(11),11,1.0,1.0,74.03,39,37.0,35.1,126.8,0%,-2.2%
ppr,254,Devin Singletary,NYG,RB,RB86,Devin Singletary NYG(8),8,1.0,1.0,55.07,41,17.0,36.6,121.9,0%,2.2%
ppr,255,Pat Bryant,DEN,WR,WR85,Pat Bryant DEN(10),10,1.0,1.0,18.03,68,39.0,60.4,145.8,0%,-2.5%
ppr,256,Ryan Flournoy,DAL,WR,WR86,Ryan Flournoy DAL(14),14,1.0,1.0,18.12,71,58.0,60.4,138.6,0%,-0.7%
ppr,257,Kimani Vidal,LAC,RB,RB87,Kimani Vidal LAC(7),7,1.0,1.0,17.11,42,44.0,38.8,113.8,0%,0.6%
ppr,258,Kaleb Johnson,PIT,RB,RB88,Kaleb Johnson PIT(9),9,1.0,5.0,16.09,33,14.0,29.2,135.9,0%,-2.1%
ppr,259,Alexander Mattison,UNS,RB,RB89,Alexander Mattison UNS(18),18,1.0,1.0,53.1,43,0.0,36.7,108.0,0%,-
ppr,260,Ray Davis,BUF,RB,RB90,Ray Davis BUF(7),7,1.0,1.0,17.01,36,39.0,26.6,127.9,0%,-4.2%
ppr,261,Keon Coleman,BUF,WR,WR87,Keon Coleman BUF(7),7,1.0,5.0,19.05,64,32.0,54.2,153.0,0%,0.7%
ppr,262,Terrance Ferguson,LAR,TE,TE30,Terrance Ferguson LAR(11),11,1.0,1.0,16.12,61,59.0,53.3,122.9,0%,-2.2%
ppr,263,Mike Gesicki,CIN,TE,TE31,Mike Gesicki CIN(6),6,1.0,5.0,27.04,68,61.0,59.7,103.8,0%,3.5%
ppr,264,Isaac TeSlaa,DET,WR,WR88,Isaac TeSlaa DET(6),6,1.0,1.0,17.12,64,64.0,56.4,150.6,0%,-1%
ppr,265,Nick Folk,ATL,K,K25,Nick Folk ATL(11),11,1.0,1.0,69.11,136,142.0,133.3,161.8,0%,1.8%
ppr,266,Miles Sanders,UNS,RB,RB91,Miles Sanders UNS(18),18,1.0,1.0,54.11,42,53.0,37.0,103.7,0%,-
ppr,267,Dontayvion Wicks,PHI,WR,WR89,Dontayvion Wicks PHI(10),10,1.0,1.0,24.02,64,42.0,56.5,147.8,0%,6.6%
ppr,268,DJ Giddens,IND,RB,RB92,DJ Giddens IND(13),13,1.0,1.0,50.02,35,30.0,31.1,117.3,0%,1.7%
ppr,269,Adam Randall,BAL,RB,RB93,Adam Randall BAL(13),13,1.0,1.0,,33,,28.2,122.7,0%,-0.1%
ppr,270,Devaughn Vele,NO,WR,WR90,Devaughn Vele NO(8),8,1.0,1.0,22.04,71,52.0,61.0,127.6,0%,0.9%
ppr,271,Troy Franklin,DEN,WR,WR91,Troy Franklin DEN(10),10,1.0,1.0,18.1,63,59.0,56.3,147.0,0%,-2.5%
ppr,272,Tory Horton,SEA,WR,WR92,Tory Horton SEA(11),11,1.0,1.0,19.1,63,53.0,54.5,145.8,0%,-0.1%
ppr,273,KaVontae Turpin,DAL,WR,WR93,KaVontae Turpin DAL(14),14,1.0,1.0,40.09,66,43.0,58.6,138.2,0%,-0.7%
ppr,274,Jerome Ford,WAS,RB,RB94,Jerome Ford WAS(7),7,1.0,1.0,26.01,34,21.0,28.2,108.8,0%,4.2%
ppr,275,Darnell Washington,PIT,TE,TE32,Darnell Washington PIT(9),9,1.0,1.0,26.12,61,50.0,54.9,109.9,0%,3%
ppr,276,Isaac Guerendo,SF,RB,RB95,Isaac Guerendo SF(8),8,1.0,1.0,50.01,30,20.0,26.7,106.2,0%,0.7%
ppr,277,Joey Slye,TEN,K,K26,Joey Slye TEN(9),9,1.0,1.0,70.11,134,127.0,130.3,158.5,0%,1.6%
ppr,278,Ja'Kobi Lane,BAL,WR,WR94,Ja'Kobi Lane BAL(13),13,1.0,1.0,21.11,60,53.0,52.8,147.0,0%,-0.3%
ppr,279,Greg Dulcich,MIA,TE,TE33,Greg Dulcich MIA(6),6,1.0,1.0,55.02,59,60.0,53.2,112.4,0%,-3.2%
ppr,280,Chris Brazzell II,CAR,WR,WR95,Chris Brazzell II CAR(5),5,1.0,1.0,19.07,58,43.0,50.9,150.3,0%,-1.3%
ppr,281,Jeremy McNichols,WAS,RB,RB96,Jeremy McNichols WAS(7),7,1.0,1.0,48.01,33,13.0,29.4,89.8,0%,4.2%
ppr,282,Seth McGowan,IND,RB,RB97,Seth McGowan IND(13),13,1.0,1.0,47.11,27,24.0,22.7,106.8,0%,1.7%
ppr,283,Phil Mafah,DAL,RB,RB98,Phil Mafah DAL(14),14,1.0,1.0,47.09,26,10.0,24.2,105.4,0%,2.9%
ppr,284,Nathaniel Dell,HOU,WR,WR96,Nathaniel Dell HOU(8),8,1.0,1.0,16.03,56,68.0,39.4,157.6,0%,4.4%
ppr,285,Trevor Etienne,CAR,RB,RB99,Trevor Etienne CAR(5),5,1.0,1.0,50.06,30,14.0,26.6,90.2,0%,-6%
ppr,286,Kendrick Bourne,ARI,WR,WR97,Kendrick Bourne ARI(14),14,1.0,1.0,63.12,63,33.0,53.4,132.0,0%,-0.8%
ppr,287,Elijah Sarratt,BAL,WR,WR98,Elijah Sarratt BAL(13),13,1.0,1.0,21.09,56,44.0,50.8,146.7,0%,-0.3%
ppr,288,Eli Heidenreich,PIT,RB,RB100,Eli Heidenreich PIT(9),9,1.0,1.0,,27,,22.8,94.0,0%,-2.1%
ppr,289,Jarquez Hunter,LAR,RB,RB101,Jarquez Hunter LAR(11),11,1.0,1.0,20.08,22,11.0,19.1,105.5,0%,6.4%
ppr,290,Andre Szmyt,CLE,K,K27,Andre Szmyt CLE(11),11,1.0,1.0,,133,,128.6,156.5,0%,4.5%
ppr,291,Jamarion Miller,NE,RB,RB102,Jamarion Miller NE(11),11,1.0,1.0,48.05,24,22.0,20.8,98.1,0%,-1.9%
ppr,292,Matt Gay,LVR,K,K28,Matt Gay LVR(13),13,1.0,1.0,70.04,133,138.0,129.9,155.1,0%,-0.3%
ppr,293,Will Shipley,PHI,RB,RB103,Will Shipley PHI(10),10,1.0,1.0,55.09,25,15.0,23.4,91.2,0%,4.4%
ppr,294,Kyle Juszczyk,SF,RB,RB104,Kyle Juszczyk SF(8),8,1.0,1.0,57.01,34,17.0,30.3,67.3,0%,0.7%
ppr,295,Darren Waller,UNS,TE,TE34,Darren Waller UNS(18),18,1.0,4.0,68.03,60,54.0,41.9,107.7,0%,-
ppr,296,Ty Chandler,NO,RB,RB105,Ty Chandler NO(8),8,1.0,1.0,49.04,30,12.0,23.8,74.4,0%,1.8%
ppr,297,Marvin Mims Jr.,DEN,WR,WR99,Marvin Mims Jr. DEN(10),10,1.0,2.0,19.09,61,38.0,54.8,129.0,0%,-2.5%
ppr,298,Evan Engram,DEN,TE,TE35,Evan Engram DEN(10),10,1.0,7.0,20.07,59,45.0,54.3,99.1,0%,-1%
ppr,299,Devin Neal,NO,RB,RB106,Devin Neal NO(8),8,1.0,1.0,21.03,29,23.0,24.7,73.5,0%,1.8%
ppr,300,Emari Demercado,KC,RB,RB107,Emari Demercado KC(5),5,1.0,1.0,26.04,28,34.0,23.4,77.1,0%,0.6%
ppr,301,Elijah Arroyo,SEA,TE,TE36,Elijah Arroyo SEA(11),11,1.0,1.0,27.02,51,34.0,47.2,118.1,0%,-0.1%
ppr,302,Michael Penix Jr.,ATL,QB,QB32,Michael Penix Jr. ATL(11),11,1.0,1.0,21.07,213,120.0,124.8,230.5,0%,1.7%
ppr,303,Jahan Dotson,ATL,WR,WR100,Jahan Dotson ATL(11),11,1.0,1.0,33.01,61,37.0,52.4,128.0,0%,0.4%
ppr,304,Andrei Iosivas,CIN,WR,WR101,Andrei Iosivas CIN(6),6,1.0,1.0,28.06,59,52.0,52.8,132.0,0%,4%
ppr,305,Raheim Sanders,CLE,RB,RB108,Raheim Sanders CLE(11),11,1.0,1.0,55.01,19,12.0,16.5,93.6,0%,0.6%
ppr,306,Tua Tagovailoa,ATL,QB,QB33,Tua Tagovailoa ATL(11),11,1.0,1.0,26.05,209,138.0,109.7,212.7,0%,1.7%
ppr,307,Jaydn Ott,KC,RB,RB109,Jaydn Ott KC(5),5,1.0,1.0,53.02,19,8.0,15.4,90.8,0%,0.6%
ppr,308,Audric Estime,NO,RB,RB110,Audric Estime NO(8),8,1.0,1.0,20.05,25,20.0,22.3,73.5,0%,1.8%
ppr,309,Joshua Palmer,BUF,WR,WR102,Joshua Palmer BUF(7),7,1.0,2.0,38.09,56,37.0,51.8,135.0,0%,0.7%
ppr,310,Cade York,NYJ,K,K29,Cade York NYJ(13),13,1.0,1.0,72.01,131,125.0,128.3,153.2,0%,-1.2%
ppr,311,Tyler Goodson,ATL,RB,RB111,Tyler Goodson ATL(11),11,1.0,1.0,49.12,17,3.0,14.8,84.2,0%,-3.2%
ppr,312,Kenny McIntosh,SEA,RB,RB112,Kenny McIntosh SEA(11),11,1.0,1.0,48.02,18,3.0,16.4,72.9,0%,5.6%
ppr,313,Roschon Johnson,CHI,RB,RB113,Roschon Johnson CHI(10),10,1.0,1.0,46.09,15,10.0,13.3,81.3,0%,-3.6%
ppr,314,Robert Henry Jr.,WAS,RB,RB114,Robert Henry Jr. WAS(7),7,1.0,1.0,,17,,12.3,76.3,0%,4.2%
ppr,315,Tahj Brooks,CIN,RB,RB115,Tahj Brooks CIN(6),6,1.0,1.0,74.04,16,21.0,14.1,78.2,0%,-4%
ppr,316,Roman Hemby,LVR,RB,RB116,Roman Hemby LVR(13),13,1.0,1.0,46.04,17,,13.9,73.7,0%,-3.1%
ppr,317,Jonnu Smith,UNS,TE,TE37,Jonnu Smith UNS(18),18,1.0,6.0,24.04,53,37.0,40.0,106.8,0%,-
ppr,318,Chris Bell,MIA,WR,WR103,Chris Bell MIA(6),6,1.0,1.0,19.08,48,70.0,40.5,150.0,0%,-1.2%
ppr,319,Michael Carter,TEN,RB,RB117,Michael Carter TEN(9),9,1.0,1.0,49.02,24,5.0,21.0,53.1,0%,2.9%
ppr,320,Jawhar Jordan,HOU,RB,RB118,Jawhar Jordan HOU(8),8,1.0,1.0,47.08,21,32.0,18.7,62.2,0%,2%
ppr,321,Eli Stowers,PHI,TE,TE38,Eli Stowers PHI(10),10,1.0,1.0,15.09,48,36.0,42.0,114.6,0%,7.1%
ppr,322,Zane Gonzalez,MIA,K,K30,Zane Gonzalez MIA(6),6,1.0,1.0,71.1,127,136.0,126.1,152.9,0%,1.6%
ppr,323,Noah Whittington,HOU,RB,RB119,Noah Whittington HOU(8),8,1.0,1.0,52.05,16,0.0,12.9,63.8,0%,2%
ppr,324,J'Mari Taylor,JAC,RB,RB120,J'Mari Taylor JAC(7),7,1.0,1.0,52.12,16,26.0,12.5,65.7,0%,0.9%
ppr,325,Malik Washington,MIA,WR,WR104,Malik Washington MIA(6),6,1.0,1.0,25.06,55,50.0,51.5,123.2,0%,-1.2%
ppr,326,Olamide Zaccheaus,ATL,WR,WR105,Olamide Zaccheaus ATL(11),11,1.0,1.0,40.05,56,49.0,48.3,121.4,0%,0.4%
ppr,327,Christian Kirk,SF,WR,WR106,Christian Kirk SF(8),8,1.0,3.0,19.12,53,53.0,46.9,127.9,0%,-3.2%
ppr,328,Shedeur Sanders,CLE,QB,QB34,Shedeur Sanders CLE(11),11,1.0,1.0,17.07,199,106.0,77.4,163.0,0%,5.4%
ppr,329,Michael Mayer,LVR,TE,TE39,Michael Mayer LVR(13),13,1.0,1.0,26.08,50,41.0,45.5,104.0,0%,-1%
ppr,330,Rasheen Ali,BAL,RB,RB121,Rasheen Ali BAL(13),13,1.0,1.0,26.1,13,26.0,11.6,64.6,0%,-0.1%
ppr,331,Tyler Badie,DEN,RB,RB122,Tyler Badie DEN(10),10,1.0,1.0,72.05,15,13.0,13.8,53.6,0%,0.1%
ppr,332,Kalel Mullings,TEN,RB,RB123,Kalel Mullings TEN(9),9,1.0,1.0,53.11,13,4.0,11.0,58.1,0%,2.9%
ppr,333,Kyle Williams,NE,WR,WR107,Kyle Williams NE(11),11,1.0,1.0,22.07,49,29.0,44.6,132.2,0%,-2.5%
ppr,334,DeAndre Hopkins,UNS,WR,WR108,DeAndre Hopkins UNS(18),18,1.0,1.0,29.07,54,2.0,42.8,123.2,0%,-
ppr,335,Caleb Douglas,MIA,WR,WR109,Caleb Douglas MIA(6),6,1.0,1.0,,48,,43.3,132.3,0%,-1.2%
ppr,336,CJ Donaldson,NO,RB,RB124,CJ Donaldson NO(8),8,1.0,1.0,50.04,10,,9.0,55.2,0%,1.8%
ppr,337,Desmond Reid,BUF,RB,RB125,Desmond Reid BUF(7),7,1.0,1.0,54.09,11,21.0,9.6,53.0,0%,-4.2%
ppr,338,Carson Beck,ARI,QB,QB35,Carson Beck ARI(14),14,1.0,1.0,76.09,193,22.0,53.1,112.2,0%,-1.2%
ppr,339,Jaleel McLaughlin,DEN,RB,RB126,Jaleel McLaughlin DEN(10),10,1.0,1.0,48.03,13,6.0,12.8,40.3,0%,0.1%
ppr,340,Ted Hurst,TB,WR,WR110,Ted Hurst TB(10),10,1.0,1.0,20.12,47,44.0,40.0,131.9,0%,2.6%
ppr,341,Jaylin Lane,WAS,WR,WR111,Jaylin Lane WAS(7),7,1.0,1.0,34.01,45,30.0,40.2,136.3,0%,-2.4%
ppr,342,Jamal Haynes,CIN,RB,RB127,Jamal Haynes CIN(6),6,1.0,1.0,,9,,7.5,48.6,0%,-4%
ppr,343,Taysom Hill,UNS,TE,TE40,Taysom Hill UNS(18),18,1.0,1.0,25.1,40,6.0,32.4,117.3,0%,-
ppr,344,Chip Trayanum,NYJ,RB,RB128,Chip Trayanum NYJ(13),13,1.0,1.0,,9,8.0,7.8,43.3,0%,-2.5%
ppr,345,Mack Hollins,NE,WR,WR112,Mack Hollins NE(11),11,1.0,1.0,29.05,49,53.0,44.4,120.8,0%,-2.5%
ppr,346,Dawson Knox,BUF,TE,TE41,Dawson Knox BUF(7),7,1.0,1.0,27.05,44,44.0,42.2,102.1,0%,-1.4%
ppr,347,Nick Westbrook-Ikhine,IND,WR,WR113,Nick Westbrook-Ikhine IND(13),13,1.0,1.0,41.1,48,46.0,42.5,120.7,0%,-0.8%
ppr,348,Tutu Atwell,MIA,WR,WR114,Tutu Atwell MIA(6),6,1.0,1.0,61.11,46,25.0,42.0,125.7,0%,-1.2%
ppr,349,Kirk Cousins,LVR,QB,QB36,Kirk Cousins LVR(13),13,1.0,1.0,76.06,192,39.0,52.0,106.2,0%,-6.2%
ppr,350,JuJu Smith-Schuster,UNS,WR,WR115,JuJu Smith-Schuster UNS(18),18,1.0,1.0,44.04,52,20.0,41.2,113.3,0%,-
ppr,351,Jaret Patterson,LAC,RB,RB129,Jaret Patterson LAC(7),7,1.0,1.0,53.03,7,10.0,6.4,32.9,0%,0.6%
ppr,352,Marquise Brown,PHI,WR,WR116,Marquise Brown PHI(10),10,1.0,3.0,25.05,46,44.0,41.9,123.0,0%,6.6%
ppr,353,Cole Kmet,CHI,TE,TE42,Cole Kmet CHI(10),10,1.0,1.0,59.04,42,41.0,40.3,99.8,0%,-3.6%
ppr,354,Curtis Samuel,UNS,WR,WR117,Curtis Samuel UNS(18),18,1.0,1.0,42.11,51,3.0,40.9,110.0,0%,-
ppr,355,Zavion Thomas,CHI,WR,WR118,Zavion Thomas CHI(10),10,1.0,1.0,44.07,43,12.0,36.8,127.8,0%,-2.5%
ppr,356,Ashton Dulin,IND,WR,WR119,Ashton Dulin IND(13),13,1.0,1.0,33.05,43,36.0,38.9,125.2,0%,-0.8%
ppr,357,Dyami Brown,WAS,WR,WR120,Dyami Brown WAS(7),7,1.0,1.0,31.07,43,35.0,37.0,124.7,0%,-2.4%
ppr,358,Malachi Fields,NYG,WR,WR121,Malachi Fields NYG(8),8,1.0,1.0,19.01,40,32.0,34.2,130.7,0%,3.7%
ppr,359,Luke McCaffrey,WAS,WR,WR122,Luke McCaffrey WAS(7),7,1.0,1.0,36.02,41,25.0,39.1,125.5,0%,-2.4%
ppr,360,Kalif Raymond,CHI,WR,WR123,Kalif Raymond CHI(10),10,1.0,1.0,37.08,45,29.0,41.6,113.0,0%,-2.5%
ppr,361,Demario Douglas,NE,WR,WR124,Demario Douglas NE(11),11,1.0,1.0,25.01,42,47.0,40.2,118.5,0%,-2.5%
ppr,362,Brenen Thompson,LAC,WR,WR125,Brenen Thompson LAC(7),7,1.0,1.0,44.09,39,16.0,35.5,126.2,0%,-2.6%
ppr,363,Bryce Lance,NO,WR,WR126,Bryce Lance NO(8),8,1.0,1.0,35.04,38,16.0,34.3,127.6,0%,0.9%
ppr,364,Malik Davis,DAL,RB,RB130,Malik Davis DAL(14),14,1.0,1.0,48.08,2,34.0,2.0,5.9,0%,2.9%
ppr,365,Noah Brown,UNS,WR,WR127,Noah Brown UNS(18),18,1.0,1.0,32.03,44,15.0,37.7,110.9,0%,-
ppr,366,Treylon Burks,WAS,WR,WR128,Treylon Burks WAS(7),7,1.0,1.0,64.01,39,29.0,35.7,120.1,0%,-2.4%
ppr,367,Xavier Legette,CAR,WR,WR129,Xavier Legette CAR(5),5,1.0,2.0,27.11,39,36.0,37.3,117.8,0%,-1.3%
ppr,368,Max Klare,LAR,TE,TE43,Max Klare LAR(11),11,1.0,1.0,22.01,38,27.0,35.3,94.1,0%,-2.2%
