scoring_format,Rank,Player,Team,position,POS,PlayerTeam (Bye),Bye,ds_auction_value,market_auction_value,ds_adp,ds_proj,consensus_proj,floor_proj,ceiling_proj,injury_risk,sos
ppr,42,Tyler Warren,IND,TE,TE4,Tyler Warren IND(13),13,20.0,15.0,6.09,141,114.0,119.5,163.1,0%,1.5%
ppr,43,Breece Hall,NYJ,RB,RB18,Breece Hall NYJ(13),13,19.0,22.0,3.04,193,190.0,171.7,250.8,0%,-2.5%
ppr,44,Tetairoa McMillan,CAR,WR,WR21,Tetairoa McMillan CAR(5),5,19.0,20.0,3.12,146,145.0,133.0,190.1,0%,-1.3%
ppr,45,Jaylen Waddle,DEN,WR,WR22,Jaylen Waddle DEN(10),10,19.0,14.0,6.07,147,124.0,128.2,188.7,0%,-2.5%
ppr,46,Terry McLaurin,WAS,WR,WR23,Terry McLaurin WAS(7),7,18.0,17.0,5.09,145,141.0,130.7,185.8,0%,-2.4%
ppr,47,Luther Burden III,CHI,WR,WR24,Luther Burden III CHI(10),10,18.0,13.0,5.1,144,123.0,124.1,191.9,0%,-2.5%
ppr,48,Lamar Jackson,BAL,QB,QB2,Lamar Jackson BAL(13),13,18.0,16.0,3.1,340,328.0,298.8,438.1,0%,1.1%
ppr,49,Emeka Egbuka,TB,WR,WR25,Emeka Egbuka TB(10),10,18.0,14.0,6.02,143,130.0,124.4,188.7,0%,2.6%
ppr,50,Mike Evans,SF,WR,WR26,Mike Evans SF(8),8,18.0,17.0,4.12,143,134.0,122.8,189.9,0%,-3.2%
ppr,51,D'Andre Swift,CHI,RB,RB19,D'Andre Swift CHI(10),10,18.0,15.0,6.06,188,168.0,169.4,244.7,0%,-3.6%
ppr,52,Rome Odunze,CHI,WR,WR27,Rome Odunze CHI(10),10,17.0,15.0,7.04,139,136.0,124.8,194.2,0%,-2.5%
ppr,53,Tucker Kraft,GB,TE,TE5,Tucker Kraft GB(11),11,17.0,13.0,7.06,131,113.0,110.1,158.6,0%,-3.3%
ppr,54,Ladd McConkey,LAC,WR,WR28,Ladd McConkey LAC(7),7,17.0,14.0,3.09,141,136.0,122.8,187.7,0%,-2.6%
ppr,55,Sam LaPorta,DET,TE,TE6,Sam LaPorta DET(6),6,17.0,14.0,7.02,126,118.0,113.1,158.3,0%,-2%
ppr,56,Drake Maye,NE,QB,QB3,Drake Maye NE(11),11,17.0,15.0,6.01,342,315.0,293.8,427.0,0%,-2.8%
ppr,57,Cameron Skattebo,NYG,RB,RB20,Cameron Skattebo NYG(8),8,16.0,13.0,6.08,184,173.0,160.3,246.8,0%,2.2%
ppr,58,Joe Burrow,CIN,QB,QB4,Joe Burrow CIN(6),6,16.0,12.0,4.1,340,316.0,296.0,425.3,0%,3.2%
ppr,59,D.K. Metcalf,PIT,WR,WR29,D.K. Metcalf PIT(9),9,16.0,12.0,7.03,144,127.0,122.1,173.8,0%,-2.6%
ppr,60,Jayden Daniels,WAS,QB,QB5,Jayden Daniels WAS(7),7,15.0,13.0,5.05,333,311.0,286.0,432.4,0%,-0.4%
ppr,61,Quinshon Judkins,CLE,RB,RB21,Quinshon Judkins CLE(11),11,15.0,17.0,5.07,172,172.0,158.2,244.3,0%,0.6%
ppr,62,Jalen Hurts,PHI,QB,QB6,Jalen Hurts PHI(10),10,15.0,12.0,5.12,330,319.0,290.5,432.4,0%,8.8%
ppr,63,Alec Pierce,IND,WR,WR30,Alec Pierce IND(13),13,15.0,15.0,6.11,136,135.0,118.2,180.7,0%,-0.8%
ppr,64,TreVeyon Henderson,NE,RB,RB22,TreVeyon Henderson NE(11),11,15.0,10.0,3.11,163,150.0,148.5,259.5,0%,-1.9%
ppr,65,Bucky Irving,TB,RB,RB23,Bucky Irving TB(10),10,15.0,17.0,3.06,168,168.0,156.2,241.9,0%,-2.2%
ppr,66,Harold Fannin Jr.,CLE,TE,TE7,Harold Fannin Jr. CLE(11),11,14.0,11.0,4.07,120,105.0,108.2,150.3,0%,3.4%
ppr,67,Trevor Lawrence,JAC,QB,QB7,Trevor Lawrence JAC(7),7,14.0,11.0,9.11,334,301.0,287.1,413.9,0%,4.5%
ppr,68,Marvin Harrison Jr.,ARI,WR,WR31,Marvin Harrison Jr. ARI(14),14,14.0,11.0,6.04,132,125.0,115.7,181.5,0%,-0.8%
ppr,69,David Montgomery,HOU,RB,RB24,David Montgomery HOU(8),8,13.0,15.0,4.05,162,162.0,139.3,236.5,0%,2%
ppr,70,D.J. Moore,BUF,WR,WR32,D.J. Moore BUF(7),7,13.0,11.0,5.06,131,118.0,114.9,176.3,0%,0.7%
ppr,71,Caleb Williams,CHI,QB,QB8,Caleb Williams CHI(10),10,13.0,9.0,9.1,326,300.0,287.1,417.6,0%,-3.5%
ppr,72,Parker Washington,JAC,WR,WR33,Parker Washington JAC(7),7,13.0,10.0,11.11,134,112.0,112.8,169.2,0%,4%
ppr,73,Courtland Sutton,DEN,WR,WR34,Courtland Sutton DEN(10),10,13.0,8.0,7.08,133,122.0,114.2,171.3,0%,-2.5%
ppr,74,Jayden Reed,GB,WR,WR35,Jayden Reed GB(11),11,13.0,7.0,11.01,131,106.0,114.2,173.3,0%,1.3%
ppr,75,Justin Herbert,LAC,QB,QB9,Justin Herbert LAC(7),7,13.0,9.0,9.04,324,301.0,285.4,415.2,0%,-2.8%
ppr,76,Jadarian Price,SEA,RB,RB25,Jadarian Price SEA(11),11,13.0,15.0,7.07,148,156.0,127.4,257.8,0%,5.6%
ppr,77,Brock Purdy,SF,QB,QB10,Brock Purdy SF(8),8,13.0,9.0,10.11,327,304.0,284.5,408.8,0%,-4%
ppr,78,Brian Thomas Jr.,JAC,WR,WR36,Brian Thomas Jr. JAC(7),7,13.0,12.0,4.06,125,111.0,108.4,185.7,0%,4%
ppr,79,Bhayshul Tuten,JAC,RB,RB26,Bhayshul Tuten JAC(7),7,13.0,8.0,6.1,147,146.0,126.6,257.6,0%,0.9%
ppr,80,Tony Pollard,TEN,RB,RB27,Tony Pollard TEN(9),9,12.0,5.0,7.11,154,147.0,140.0,230.8,0%,2.9%
ppr,81,J.K. Dobbins,DEN,RB,RB28,J.K. Dobbins DEN(10),10,12.0,5.0,8.09,152,144.0,130.6,239.9,0%,0.1%
ppr,82,Carnell Tate,TEN,WR,WR37,Carnell Tate TEN(9),9,12.0,11.0,4.09,127,116.0,105.7,178.3,0%,5%
ppr,83,Jordyn Tyson,NO,WR,WR38,Jordyn Tyson NO(8),8,12.0,9.0,6.12,127,109.0,104.3,179.3,0%,0.9%
ppr,84,Jordan Addison,MIN,WR,WR39,Jordan Addison MIN(6),6,12.0,6.0,10.03,129,106.0,109.7,171.6,0%,4.9%
ppr,85,George Kittle,SF,TE,TE8,George Kittle SF(8),8,12.0,8.0,8.02,114,107.0,68.2,169.5,0%,-3.6%
ppr,86,Jaxson Dart,NYG,QB,QB11,Jaxson Dart NYG(8),8,12.0,9.0,8.04,318,299.0,280.1,417.0,0%,4.8%
ppr,87,Chuba Hubbard,CAR,RB,RB29,Chuba Hubbard CAR(5),5,12.0,9.0,6.03,149,146.0,126.3,233.3,0%,-6%
ppr,88,Dak Prescott,DAL,QB,QB12,Dak Prescott DAL(14),14,12.0,10.0,9.06,325,301.0,282.7,399.7,0%,0.5%
ppr,89,Ricky Pearsall,SF,WR,WR40,Ricky Pearsall SF(8),8,11.0,6.0,8.1,126,104.0,101.9,173.5,0%,-3.2%
ppr,90,Rhamondre Stevenson,NE,RB,RB30,Rhamondre Stevenson NE(11),11,11.0,6.0,8.07,148,143.0,131.6,218.9,0%,-1.9%
